"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","954","100 West Street, Northborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3633,2945,4481
"885","1 Lincoln St, Boston, MA","955","100 Somerset Avenue, Winthrop","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1287,1048,1579
"885","1 Lincoln St, Boston, MA","956","0 Lyman Street, Northborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3253,2573,4111
"885","1 Lincoln St, Boston, MA","957","0 Bowman Street, Westborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3438,2657,4447
"885","1 Lincoln St, Boston, MA","958","0 Brooks Street, Upton-West Upton, Upton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3438,2642,4472
"885","1 Lincoln St, Boston, MA","959","0 Industrial Road, Milford","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3316,2982,3686
"885","1 Lincoln St, Boston, MA","962","0 Providence Road, North Grafton, Grafton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3588,2831,4546
"885","1 Lincoln St, Boston, MA","963","0 Packet Landing Way, West Barnstable, Barnstable","8/28/2017 - 9/24/2017, Weekdays, PM Peak",5509,4671,6496
"885","1 Lincoln St, Boston, MA","965","200 River Road, Winthrop","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1517,1188,1936
"885","1 Lincoln St, Boston, MA","966","100 Discovery Hill Road, East Sandwich, Sandwich","8/28/2017 - 9/24/2017, Weekdays, PM Peak",4930,4066,5977
"885","1 Lincoln St, Boston, MA","968","800 School Street, Mansfield","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3740,2921,4787
"885","1 Lincoln St, Boston, MA","978","100 Common Lane, Beverly","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2817,2230,3557
"885","1 Lincoln St, Boston, MA","980","0 Danton Drive, Methuen","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3783,2656,5386
"885","1 Lincoln St, Boston, MA","982","Vireo Loop, Marblehead","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3192,2663,3825
"885","1 Lincoln St, Boston, MA","983","200 Lynnway, Lynn","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2434,1883,3144
"885","1 Lincoln St, Boston, MA","984","0 D'Orlando Way, Danvers","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2936,2061,4181
"885","1 Lincoln St, Boston, MA","986","0 Harvard Avenue, West Medford, Medford","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1667,1125,2469
"885","1 Lincoln St, Boston, MA","995","200 Billerica Road, Chelmsford","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3377,2659,4288
"885","1 Lincoln St, Boston, MA","996","Royal Plaza Drive, Marlborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3272,2555,4189
"885","1 Lincoln St, Boston, MA","999","100 Main Street, Wakefield","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1941,1285,2930
"885","1 Lincoln St, Boston, MA","1000","0 Centre Street, Malden","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1965,1517,2544
"885","1 Lincoln St, Boston, MA","1001","0 Sargent Street, Malden","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1914,1330,2753
"885","1 Lincoln St, Boston, MA","1002","500 Assembly Row, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1053,664,1668
"885","1 Lincoln St, Boston, MA","1003","0 Packard Avenue, Tufts, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1957,1460,2622
"885","1 Lincoln St, Boston, MA","1004","0 Linden Avenue, Spring Hill, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1794,1380,2331
"885","1 Lincoln St, Boston, MA","1005","100 Sidney Street, Cambridgeport, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1255,866,1817
"885","1 Lincoln St, Boston, MA","1006","0 Gray Gardens East, Neighborhood Nine, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1719,1291,2288
"885","1 Lincoln St, Boston, MA","1010","0 Coolidge Hill Road, Watertown","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1476,1119,1945
"885","1 Lincoln St, Boston, MA","1011","0 Burdean Road, Oak Hill, Newton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2135,1680,2712
"885","1 Lincoln St, Boston, MA","1012","0 Wilde Road, Waban, Newton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1680,1251,2254
"885","1 Lincoln St, Boston, MA","1013","100 Seminary Avenue, Auburndale, Newton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1466,1074,1999
"885","1 Lincoln St, Boston, MA","1014","0 Nixon Road, Framingham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2388,1808,3153
"885","1 Lincoln St, Boston, MA","1016","100 Buckminster Road, Fisher Hill, Brookline","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1869,1503,2324
"885","1 Lincoln St, Boston, MA","1017","0 Tudor Road, Needham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2036,1504,2754
"885","1 Lincoln St, Boston, MA","1018","0 Knollwood Drive, Dover","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3042,2510,3685
"885","1 Lincoln St, Boston, MA","1021","100 Walpole Street, Sharon","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3224,2422,4291
"885","1 Lincoln St, Boston, MA","1022","0 Morse Street, Sharon","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3236,2573,4068
"885","1 Lincoln St, Boston, MA","1023","0 Norman Street, Milton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1816,1271,2593
"885","1 Lincoln St, Boston, MA","1024","300 Adams Street, Milton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1088,720,1643
"885","1 Lincoln St, Boston, MA","1025","0 Reservoir Drive, Randolph","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2412,1655,3514
"885","1 Lincoln St, Boston, MA","1027","300 Neck Street, North Weymouth, Weymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2514,1890,3342
"885","1 Lincoln St, Boston, MA","1029","200 Pine Street, Norwell","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2683,1993,3611
"885","1 Lincoln St, Boston, MA","1033","Fall River Expressway, West Bridgewater","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3128,2394,4085
"885","1 Lincoln St, Boston, MA","1034","100 Armstrong Road, Plymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3687,2884,4713
"885","1 Lincoln St, Boston, MA","1036","Pilgrims Highway, Plymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",4372,3485,5483
"885","1 Lincoln St, Boston, MA","1037","Unnamed Road, East Wareham, Wareham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",4661,4433,4900
"885","1 Lincoln St, Boston, MA","1038","0 Old Rutherford Avenue, Charlestown, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",751,427,1319
"885","1 Lincoln St, Boston, MA","1039","0 Flint Place, South Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",769,566,1044
"885","1 Lincoln St, Boston, MA","1040","900 Massachusetts Avenue, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",557,283,1095
"885","1 Lincoln St, Boston, MA","1041","0 Kendall Street, South End, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",887,608,1292
"885","1 Lincoln St, Boston, MA","1042","0 Townsend Street, Roxbury, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1177,846,1635
"885","1 Lincoln St, Boston, MA","1043","200 Savin Hill Avenue, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",816,469,1418
"885","1 Lincoln St, Boston, MA","1044","0 Ames Street, Mattapan, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2018,1622,2510
"885","1 Lincoln St, Boston, MA","1045","0 Brockton Street, Mattapan, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2221,1607,3068
"885","1 Lincoln St, Boston, MA","1047","0 Ardale Street, Roslindale, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2272,1754,2941
"885","1 Lincoln St, Boston, MA","1048","Airport Road Terminal C - Departure Level, East Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",779,487,1245
"885","1 Lincoln St, Boston, MA","1053","100 Greenwood Street, Quinsigamond Village, Worcester","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3646,3129,4248
"885","1 Lincoln St, Boston, MA","1054","0 Old Common, Millbury","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3960,3048,5144
"885","1 Lincoln St, Boston, MA","1056","0 Valley Road, Southborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2867,2143,3834
"885","1 Lincoln St, Boston, MA","1060","600 Mary Dunn Road, Hyannis, Barnstable","8/28/2017 - 9/24/2017, Weekdays, PM Peak",5696,4839,6703
"885","1 Lincoln St, Boston, MA","1064","0 Glen Forest Lane, Methuen","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3862,2701,5521
"885","1 Lincoln St, Boston, MA","1065","0 Volk Road, Dedham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2656,2119,3328
"885","1 Lincoln St, Boston, MA","1066","0 Warner Trail Road, Wrentham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3783,2966,4823
"885","1 Lincoln St, Boston, MA","1068","1300 Bennington Street, East Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1268,927,1733
"885","1 Lincoln St, Boston, MA","1075","0 Oakview Terrace, Jamaica Plain, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1536,1203,1960
"885","1 Lincoln St, Boston, MA","1077","400 Moody Street, South Side, Waltham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1749,1377,2220
"885","1 Lincoln St, Boston, MA","1078","0 Wellesley Street, South Medford, Medford","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1665,1225,2262
"885","1 Lincoln St, Boston, MA","1079","0 Brent Road, Lexington","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2691,2082,3477
"885","1 Lincoln St, Boston, MA","1080","0 Teaberry Lane, Braintree","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2084,1387,3130
"885","1 Lincoln St, Boston, MA","1084","100 Main Street, Sandwich, Sandwich","8/28/2017 - 9/24/2017, Weekdays, PM Peak",4843,3966,5913
"885","1 Lincoln St, Boston, MA","1085","0 Spectacle Pond Drive, East Falmouth, Falmouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",5897,5130,6777
"885","1 Lincoln St, Boston, MA","1089","200 Buck Knoll Road, Raynham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3670,2905,4634
"885","1 Lincoln St, Boston, MA","1095","0 Oxford Street, Lynn","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2450,1988,3018
"885","1 Lincoln St, Boston, MA","1099","0 Station Street, Brookline","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1749,1329,2300
"885","1 Lincoln St, Boston, MA","1100","0 Lowell Street, Andover, Andover","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2892,2545,3285
"885","1 Lincoln St, Boston, MA","1102","0 Greenlodge Street, Dedham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2481,1841,3343
"885","1 Lincoln St, Boston, MA","1103","100 Kendrick Avenue, Quincy","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2023,1428,2864
"885","1 Lincoln St, Boston, MA","1104","100 Grove Street, Braintree","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1986,1344,2932
"885","1 Lincoln St, Boston, MA","1107","0 Winthrop Street, Kingston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3454,2706,4407
"885","1 Lincoln St, Boston, MA","1110","Cambridge Street, Allston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",680,358,1289
"885","1 Lincoln St, Boston, MA","1112","1400 Shawsheen Street, Tewksbury","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2672,1996,3575
"885","1 Lincoln St, Boston, MA","1116","Harborwalk, Waterfront, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",327,139,768
"885","1 Lincoln St, Boston, MA","1117","0 Gold Star Street, East Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1131,788,1621
"885","1 Lincoln St, Boston, MA","1118","0 McGreevey Way, Mission Hill, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1339,976,1836
"885","1 Lincoln St, Boston, MA","1119","0 Coleus Park, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1481,1066,2056
"885","1 Lincoln St, Boston, MA","1120","0 Melville Avenue, Dorchester, Dorchester Center, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1616,1256,2078
"885","1 Lincoln St, Boston, MA","1122","100 Webster Avenue, Chelsea","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1131,739,1729
"885","1 Lincoln St, Boston, MA","1123","Conifer Path, Jamaica Hills / Pond, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2136,1643,2775
"885","1 Lincoln St, Boston, MA","1127","100 South Border Road, Medford","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1507,974,2330
"885","1 Lincoln St, Boston, MA","1128","0 Lowden Avenue, Powder House Square, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1800,1339,2419
"885","1 Lincoln St, Boston, MA","1129","0 Shepard Street, Neighborhood Nine, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1607,1189,2170
"885","1 Lincoln St, Boston, MA","1130","0 Louise Road, Belmont","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1840,1454,2328
"885","1 Lincoln St, Boston, MA","1131","Yankee Division Highway, Lexington","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2371,1824,3081
"885","1 Lincoln St, Boston, MA","1135","100 Main Street, Southborough","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3017,2285,3982
"885","1 Lincoln St, Boston, MA","1137","0 Marion Avenue, Woburn","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2085,1676,2593
