"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","309","0 Fernwood Drive, Westford","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3710,2938,4683
"885","1 Lincoln St, Boston, MA","310","0 Sharon Street, Malden","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1933,1435,2602
"885","1 Lincoln St, Boston, MA","311","800 Monument Street, Concord","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2946,2291,3788
"885","1 Lincoln St, Boston, MA","313","0 Pond Plain Road, Westwood","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2891,2100,3978
"885","1 Lincoln St, Boston, MA","314","1000 Pleasant Street, East Weymouth, Weymouth","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2394,1727,3317
"885","1 Lincoln St, Boston, MA","316","Edgeworth, Charlestown, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",859,554,1330
"885","1 Lincoln St, Boston, MA","317","100 Bowen Street, D Street / West Broadway, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",785,510,1207
"885","1 Lincoln St, Boston, MA","318","0 Stella Road, Roslindale, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2085,1527,2845
"885","1 Lincoln St, Boston, MA","320","0 Pleasant Street, North Brookline, Brookline","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1648,1258,2157
"885","1 Lincoln St, Boston, MA","323","Amvets Memorial Highway, Fall River","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3809,3117,4653
"885","1 Lincoln St, Boston, MA","327","0 Labelle Street, Marlborough","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2988,2323,3842
"885","1 Lincoln St, Boston, MA","328","0 Clinton Street, Everett","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1575,1096,2262
"885","1 Lincoln St, Boston, MA","329","0 Tyler Street, Ward Two, Somerville","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1547,1124,2128
"885","1 Lincoln St, Boston, MA","330","100 Vassal Lane, West Cambridge, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1687,1194,2383
"885","1 Lincoln St, Boston, MA","331","0 Seaport Drive, Marina Bay, Quincy","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1163,766,1765
"885","1 Lincoln St, Boston, MA","332","100 Wolf Pond Road, Kingston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3782,2936,4871
"885","1 Lincoln St, Boston, MA","333","0 Huntington Avenue, Prudential / St. Botolph, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",629,224,1763
"885","1 Lincoln St, Boston, MA","334","0 Westbourne Street, Roslindale, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2481,1889,3257
"885","1 Lincoln St, Boston, MA","335","100 Everett Avenue, Chelsea","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1003,641,1568
"885","1 Lincoln St, Boston, MA","337","100 Svenson Avenue, Broadmeadow Brook, Worcester","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3858,2825,5266
"885","1 Lincoln St, Boston, MA","339","0 Autumn Lane, Natick","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2886,2155,3864
"885","1 Lincoln St, Boston, MA","340","0 Bent Avenue, Cochituate, Wayland","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1909,1291,2822
"885","1 Lincoln St, Boston, MA","341","0 Fountain Avenue, East Somerville, Somerville","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1206,820,1772
"885","1 Lincoln St, Boston, MA","342","0 Payson Street, Vernon Hill, Worcester","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3900,2854,5329
"885","1 Lincoln St, Boston, MA","345","0 West Street, Auburn","4/3/2017 - 5/27/2017, Weekdays, PM Peak",4282,3170,5783
"885","1 Lincoln St, Boston, MA","346","0 Meadowbrook Road, Grafton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3494,2454,4973
